"There was an error with the reCAPTCHA code, please try again.","There was an error with the reCAPTCHA code, please try again."
"ReCAPTCHA","ReCAPTCHA"
"Enable ReCAPTCHA on Storefront","Enable ReCAPTCHA on Storefront"
"Enable ReCAPTCHA in Admin","Enable ReCAPTCHA in Admin"
"Site Key","Site Key"
"Secret Key","Secret Key"
"Forms","Forms"
"Type of ReCAPTCHA","Type of ReCAPTCHA"
"Size of ReCAPTCHA","Size of ReCAPTCHA"
"Color theme of ReCAPTCHA","Color theme of ReCAPTCHA"
"Create user","Create user"
"Login","Login"
"Forgot password","Forgot password"
"Contact Us","Contact Us"
"Admin Login","Admin Login"
"Admin Forgot Password","Admin Forgot Password"